Date;Maturity;Maturity (year fraction);Strike;Volatility
2019-04;1M;0,08;3,00;2,07
2019-04;2M;0,16;3,00;1,74
2019-04;3M;0,24;3,00;1,61
2019-04;6M;0,49;3,00;1,45
2019-04;9M;0,73;3,00;1,34
2019-04;1Y;1,00;3,00;1,37
2019-04;2Y;2,00;3,00;1,20
2019-04;3Y;3,00;3,00;1,05
2019-04;4Y;4,00;3,00;0,98
2019-04;5Y;5,00;3,00;0,93
2019-04;6Y;6,00;3,00;0,90
2019-04;7Y;7,00;3,00;0,87
2019-04;8Y;8,00;3,00;0,84
2019-04;9Y;9,00;3,00;0,81
2019-04;10Y;10,00;3,00;0,88
2019-04;1M;0,08;4,00;1,88
2019-04;2M;0,16;4,00;1,63
2019-04;3M;0,24;4,00;1,54
2019-04;6M;0,49;4,00;1,39
2019-04;9M;0,73;4,00;1,31
2019-04;1Y;1,00;4,00;1,32
2019-04;2Y;2,00;4,00;1,22
2019-04;3Y;3,00;4,00;1,15
2019-04;4Y;4,00;4,00;1,09
2019-04;5Y;5,00;4,00;1,04
2019-04;6Y;6,00;4,00;1,01
2019-04;7Y;7,00;4,00;0,99
2019-04;8Y;8,00;4,00;0,97
2019-04;9Y;9,00;4,00;0,93
2019-04;10Y;10,00;4,00;1,01
2019-04;1M;0,08;5,00;1,67
2019-04;2M;0,16;5,00;1,49
2019-04;3M;0,24;5,00;1,41
2019-04;6M;0,49;5,00;1,31
2019-04;9M;0,73;5,00;1,28
2019-04;1Y;1,00;5,00;1,29
2019-04;2Y;2,00;5,00;1,27
2019-04;3Y;3,00;5,00;1,22
2019-04;4Y;4,00;5,00;1,18
2019-04;5Y;5,00;5,00;1,16
2019-04;6Y;6,00;5,00;1,14
2019-04;7Y;7,00;5,00;1,12
2019-04;8Y;8,00;5,00;1,10
2019-04;9Y;9,00;5,00;1,07
2019-04;10Y;10,00;5,00;1,14
2019-04;1M;0,08;6,00;1,41
2019-04;2M;0,16;6,00;1,29
2019-04;3M;0,24;6,00;1,26
2019-04;6M;0,49;6,00;1,27
2019-04;9M;0,73;6,00;1,30
2019-04;1Y;1,00;6,00;1,35
2019-04;2Y;2,00;6,00;1,40
2019-04;3Y;3,00;6,00;1,35
2019-04;4Y;4,00;6,00;1,32
2019-04;5Y;5,00;6,00;1,30
2019-04;6Y;6,00;6,00;1,28
2019-04;7Y;7,00;6,00;1,25
2019-04;8Y;8,00;6,00;1,23
2019-04;9Y;9,00;6,00;1,20
2019-04;10Y;10,00;6,00;1,27
2019-04;1M;0,08;6,50;1,25
2019-04;2M;0,16;6,50;1,19
2019-04;3M;0,24;6,50;1,19
2019-04;6M;0,49;6,50;1,27
2019-04;9M;0,73;6,50;1,35
2019-04;1Y;1,00;6,50;1,43
2019-04;2Y;2,00;6,50;1,50
2019-04;3Y;3,00;6,50;1,45
2019-04;4Y;4,00;6,50;1,41
2019-04;5Y;5,00;6,50;1,38
2019-04;6Y;6,00;6,50;1,35
2019-04;7Y;7,00;6,50;1,32
2019-04;8Y;8,00;6,50;1,30
2019-04;9Y;9,00;6,50;1,26
2019-04;10Y;10,00;6,50;1,34
2019-04;1M;0,08;7,00;1,08
2019-04;2M;0,16;7,00;1,11
2019-04;3M;0,24;7,00;1,16
2019-04;6M;0,49;7,00;1,33
2019-04;9M;0,73;7,00;1,45
2019-04;1Y;1,00;7,00;1,54
2019-04;2Y;2,00;7,00;1,61
2019-04;3Y;3,00;7,00;1,55
2019-04;4Y;4,00;7,00;1,50
2019-04;5Y;5,00;7,00;1,46
2019-04;6Y;6,00;7,00;1,44
2019-04;7Y;7,00;7,00;1,40
2019-04;8Y;8,00;7,00;1,37
2019-04;9Y;9,00;7,00;1,33
2019-04;10Y;10,00;7,00;1,41
2019-04;1M;0,08;7,25;1,01
2019-04;2M;0,16;7,25;1,09
2019-04;3M;0,24;7,25;1,17
2019-04;6M;0,49;7,25;1,38
2019-04;9M;0,73;7,25;1,51
2019-04;1Y;1,00;7,25;1,61
2019-04;2Y;2,00;7,25;1,67
2019-04;3Y;3,00;7,25;1,60
2019-04;4Y;4,00;7,25;1,55
2019-04;5Y;5,00;7,25;1,51
2019-04;6Y;6,00;7,25;1,48
2019-04;7Y;7,00;7,25;1,44
2019-04;8Y;8,00;7,25;1,41
2019-04;9Y;9,00;7,25;1,37
2019-04;10Y;10,00;7,25;1,44
2019-04;1M;0,08;7,50;0,98
2019-04;2M;0,16;7,50;1,12
2019-04;3M;0,24;7,50;1,22
2019-04;6M;0,49;7,50;1,45
2019-04;9M;0,73;7,50;1,59
2019-04;1Y;1,00;7,50;1,68
2019-04;2Y;2,00;7,50;1,73
2019-04;3Y;3,00;7,50;1,66
2019-04;4Y;4,00;7,50;1,60
2019-04;5Y;5,00;7,50;1,56
2019-04;6Y;6,00;7,50;1,52
2019-04;7Y;7,00;7,50;1,48
2019-04;8Y;8,00;7,50;1,45
2019-04;9Y;9,00;7,50;1,40
2019-04;10Y;10,00;7,50;1,48
2019-04;1M;0,08;7,75;1,05
2019-04;2M;0,16;7,75;1,20
2019-04;3M;0,24;7,75;1,30
2019-04;6M;0,49;7,75;1,53
2019-04;9M;0,73;7,75;1,66
2019-04;1Y;1,00;7,75;1,75
2019-04;2Y;2,00;7,75;1,80
2019-04;3Y;3,00;7,75;1,71
2019-04;4Y;4,00;7,75;1,65
2019-04;5Y;5,00;7,75;1,60
2019-04;6Y;6,00;7,75;1,57
2019-04;7Y;7,00;7,75;1,52
2019-04;8Y;8,00;7,75;1,49
2019-04;9Y;9,00;7,75;1,44
2019-04;10Y;10,00;7,75;1,51
2019-04;1M;0,08;8,00;1,21
2019-04;2M;0,16;8,00;1,33
2019-04;3M;0,24;8,00;1,41
2019-04;6M;0,49;8,00;1,62
2019-04;9M;0,73;8,00;1,74
2019-04;1Y;1,00;8,00;1,83
2019-04;2Y;2,00;8,00;1,86
2019-04;3Y;3,00;8,00;1,77
2019-04;4Y;4,00;8,00;1,70
2019-04;5Y;5,00;8,00;1,65
2019-04;6Y;6,00;8,00;1,61
2019-04;7Y;7,00;8,00;1,56
2019-04;8Y;8,00;8,00;1,53
2019-04;9Y;9,00;8,00;1,48
2019-04;10Y;10,00;8,00;1,55
2019-04;1M;0,08;8,25;1,38
2019-04;2M;0,16;8,25;1,46
2019-04;3M;0,24;8,25;1,52
2019-04;6M;0,49;8,25;1,72
2019-04;9M;0,73;8,25;1,83
2019-04;1Y;1,00;8,25;1,90
2019-04;2Y;2,00;8,25;1,92
2019-04;3Y;3,00;8,25;1,82
2019-04;4Y;4,00;8,25;1,75
2019-04;5Y;5,00;8,25;1,70
2019-04;6Y;6,00;8,25;1,66
2019-04;7Y;7,00;8,25;1,60
2019-04;8Y;8,00;8,25;1,57
2019-04;9Y;9,00;8,25;1,51
2019-04;10Y;10,00;8,25;1,58
2019-04;1M;0,08;8,50;1,55
2019-04;2M;0,16;8,50;1,59
2019-04;3M;0,24;8,50;1,64
2019-04;6M;0,49;8,50;1,81
2019-04;9M;0,73;8,50;1,91
2019-04;1Y;1,00;8,50;1,98
2019-04;2Y;2,00;8,50;1,98
2019-04;3Y;3,00;8,50;1,88
2019-04;4Y;4,00;8,50;1,80
2019-04;5Y;5,00;8,50;1,74
2019-04;6Y;6,00;8,50;1,70
2019-04;7Y;7,00;8,50;1,65
2019-04;8Y;8,00;8,50;1,61
2019-04;9Y;9,00;8,50;1,55
2019-04;10Y;10,00;8,50;1,62
2019-04;1M;0,08;8,75;1,71
2019-04;2M;0,16;8,75;1,72
2019-04;3M;0,24;8,75;1,76
2019-04;6M;0,49;8,75;1,90
2019-04;9M;0,73;8,75;2,00
2019-04;1Y;1,00;8,75;2,05
2019-04;2Y;2,00;8,75;2,04
2019-04;3Y;3,00;8,75;1,93
2019-04;4Y;4,00;8,75;1,85
2019-04;5Y;5,00;8,75;1,79
2019-04;6Y;6,00;8,75;1,74
2019-04;7Y;7,00;8,75;1,69
2019-04;8Y;8,00;8,75;1,65
2019-04;9Y;9,00;8,75;1,59
2019-04;10Y;10,00;8,75;1,65
2019-04;1M;0,08;9,00;1,87
2019-04;2M;0,16;9,00;1,85
2019-04;3M;0,24;9,00;1,87
2019-04;6M;0,49;9,00;2,00
2019-04;9M;0,73;9,00;2,08
2019-04;1Y;1,00;9,00;2,13
2019-04;2Y;2,00;9,00;2,11
2019-04;3Y;3,00;9,00;1,99
2019-04;4Y;4,00;9,00;1,90
2019-04;5Y;5,00;9,00;1,84
2019-04;6Y;6,00;9,00;1,79
2019-04;7Y;7,00;9,00;1,73
2019-04;8Y;8,00;9,00;1,68
2019-04;9Y;9,00;9,00;1,63
2019-04;10Y;10,00;9,00;1,69
2019-04;1M;0,08;9,50;2,16
2019-04;2M;0,16;9,50;2,10
2019-04;3M;0,24;9,50;2,10
2019-04;6M;0,49;9,50;2,18
2019-04;9M;0,73;9,50;2,25
2019-04;1Y;1,00;9,50;2,28
2019-04;2Y;2,00;9,50;2,23
2019-04;3Y;3,00;9,50;2,09
2019-04;4Y;4,00;9,50;2,00
2019-04;5Y;5,00;9,50;1,93
2019-04;6Y;6,00;9,50;1,87
2019-04;7Y;7,00;9,50;1,81
2019-04;8Y;8,00;9,50;1,76
2019-04;9Y;9,00;9,50;1,70
2019-04;10Y;10,00;9,50;1,76
2019-04;1M;0,08;10,00;2,40
2019-04;2M;0,16;10,00;2,34
2019-04;3M;0,24;10,00;2,32
2019-04;6M;0,49;10,00;2,37
2019-04;9M;0,73;10,00;2,41
2019-04;1Y;1,00;10,00;2,43
2019-04;2Y;2,00;10,00;2,35
2019-04;3Y;3,00;10,00;2,20
2019-04;4Y;4,00;10,00;2,10
2019-04;5Y;5,00;10,00;2,02
2019-04;6Y;6,00;10,00;1,96
2019-04;7Y;7,00;10,00;1,89
2019-04;8Y;8,00;10,00;1,84
2019-04;9Y;9,00;10,00;1,77
2019-04;10Y;10,00;10,00;1,83
2019-04;1M;0,08;10,50;2,59
2019-04;2M;0,16;10,50;2,55
2019-04;3M;0,24;10,50;2,53
2019-04;6M;0,49;10,50;2,55
2019-04;9M;0,73;10,50;2,58
2019-04;1Y;1,00;10,50;2,58
2019-04;2Y;2,00;10,50;2,48
2019-04;3Y;3,00;10,50;2,31
2019-04;4Y;4,00;10,50;2,20
2019-04;5Y;5,00;10,50;2,11
2019-04;6Y;6,00;10,50;2,04
